info;city;country;lat;long
;Bogotá;COL;-74.08175;4.60971
<b>LIVERPOOL, Inglaterra<br>Estudios:</b><br>University of Liverpool: <i>MSc - Evolutionary Psychology, Scool of Biological Sciences</i> (graduado 2009);Liverpool;Inglaterra;-2.983333;53.4
<b>STIRLING, Escocia<br>Estudios:</b><br>University of Stirling: <i>PhD - Psychology, Scool of Natural Sciences</i> (graduado 2014)<br><b>Trabajo:</b><br>University of Stirling (TA 2011-2014);Stirling;Escocia;-3.9369;56.1166
<b>BOGOTA, Colombia<br>Estudios:</b><br>Universidad Pedagógica Nacional: <i>Pedagogía Musical</i> (graduado 2006)<br><b>Trabajo:</b><br>Universidad El Bosque (desde 2015)<br>Universidad de La Sabana (2015-2016);Bogotá;Colombia;-74.08175;4.60971
